threshold,coverage,accuracy,macro_f1
0.0,1.0,0.7391304347826086,0.613977613977614
0.025384615384615384,1.0,0.7391304347826086,0.613977613977614
0.05076923076923077,1.0,0.7391304347826086,0.613977613977614
0.07615384615384616,1.0,0.7391304347826086,0.613977613977614
0.10153846153846154,1.0,0.7391304347826086,0.613977613977614
0.12692307692307692,1.0,0.7391304347826086,0.613977613977614
0.1523076923076923,1.0,0.7391304347826086,0.613977613977614
0.17769230769230768,1.0,0.7391304347826086,0.613977613977614
0.20307692307692307,1.0,0.7391304347826086,0.613977613977614
0.22846153846153847,1.0,0.7391304347826086,0.613977613977614
0.25384615384615383,1.0,0.7391304347826086,0.613977613977614
0.2792307692307692,1.0,0.7391304347826086,0.613977613977614
0.3046153846153846,1.0,0.7391304347826086,0.613977613977614
0.33,1.0,0.7391304347826086,0.613977613977614
0.35538461538461535,1.0,0.7391304347826086,0.613977613977614
0.38076923076923075,1.0,0.7391304347826086,0.613977613977614
0.40615384615384614,0.9782608695652174,0.7481481481481481,0.6256942306022061
0.43153846153846154,0.9637681159420289,0.7518796992481203,0.6318839569254163
0.45692307692307693,0.9492753623188406,0.7480916030534351,0.6140724946695096
0.48230769230769227,0.9202898550724637,0.7559055118110236,0.5975889781859931
0.5076923076923077,0.8913043478260869,0.7723577235772358,0.6020888932819347
0.5330769230769231,0.855072463768116,0.7711864406779662,0.6037296037296037
0.5584615384615385,0.8333333333333334,0.782608695652174,0.607565011820331
0.5838461538461538,0.7608695652173914,0.8,0.6124031007751939
0.6092307692307692,0.7101449275362319,0.8163265306122449,0.6182795698924731
0.6346153846153846,0.6594202898550725,0.8241758241758241,0.6198830409356725
0.66,0.572463768115942,0.8734177215189873,0.6339869281045751
0.6853846153846154,0.4927536231884058,0.8823529411764706,0.6363636363636364
0.7107692307692307,0.38405797101449274,0.8490566037735849,0.6285714285714286
0.7361538461538462,0.26811594202898553,0.8108108108108109,0.6190476190476191
0.7615384615384615,0.12318840579710146,0.7647058823529411,0.6111111111111112
0.786923076923077,0.036231884057971016,0.6,0.5555555555555555
0.8123076923076923,0.0,,
0.8376923076923076,0.0,,
0.8630769230769231,0.0,,
0.8884615384615384,0.0,,
0.9138461538461539,0.0,,
0.9392307692307692,0.0,,
0.9646153846153845,0.0,,
0.99,0.0,,
